,Translated Tweets
4541,"My head hurts a bit but I can still go to the online class today, I'll just rest later after my class"
4542,first day of class online first 🥱💤 https://t.co/K3Y9VsNs7L
4543,"@junkoalaaa__ it's you, you're online now but you said you have class. 🤨"
4544,"It seems that I want to replace the bowl and play volleyball, but the class and exam will be done online only. right cpu?"
4545,The class schedule is all online. You told me again to not spend on wifi? Because yesterday I didn't have a signal on the globe
4546,Can I teach classes online?
4547,WAIT I STILL HAVE CLASS AT 6:30 ONLINE AFTER LAW
4548,I can't replay what the prof said in class. just do the lecture online pls hahahahaha
4549,"@jiims I hope you can choose it, just load the phone online class since I have a class tomorrow at 5 pm 🙏"
4550,I still said that I can leave the house when ftf is over and all my classes are online ahayayay
4551,@Jowlesii KINGINAMO WE DON'T HAVE A PROF I'LL CHOKE YOU SO YOU'RE ONLINE AT VALO DO YOU HAVE CLASSES???
4552,"It's really good that my classes are online this week, even if I sleep while in class"
4553,I have a class but it's more important that we're online
4554,"All day I have classes online and f2f huhuhu. I'll just get back tonight

#AnjBrent | #AnjiSalvacion | #BrentWin

https://t.co/GEHpzQOdOa"
4555,"It makes me cry, I can't even watch online because we have class 😭"
4556,"The class is online, but there is still a charge"
4557,"luckily we'll be online tomorrow and on tuesday, I can watch the concert while in class 🤣"
4558,"It's really bad that I'm an amputee. I'll leave at 8am, I'll come to school at 10am, there's a class at 10:30am, dismissal at 1pm, there's an online class from 2pm-3:30pm."
4559,IT IS TIRING TO TAKE COMPUTATION CLASSES ONLINE! 😭
4560,@blahblahblahsy There's no way it's just f2f online HAHAHAHA
4561,"It's a good thing there's only one class, and it's still online 🤭 while on Tuesday, we only have two classes, case f2f 🧘🏻‍♀️eniweyz for sure I spend more time looking for cooking shows than watching them"
4562,MY CLASS IS ONLINE ON FRIDAY EHSUSBHASHABAHSH
4563,"—n'on and listening to the class (online class era too much) then I just caught a glimpse of what was happening inside. As I removed my earplugs, I heard loud cries and decided to go inside. I didn't realize that it's more spine chilling.
—"
4564,I miss the online class huhu it's every Sunday chill la bis monday tomorrow but that Sunday should be back to tac because there is a class tom 🥲🥲🥲
4565,"I HAVE A CLASS TOMORROW BUT IT WILL ONLY BE ONLINE, I HOPE!!! REPORTING LINKS WILL BE BROKEN 🥰🥰"
4566,"IT'S STRESSFUL BECAUSE WE STILL HAVE ONLINE CLASSES, SOMETIMES DURING THE EXAM SHE RESTARTS SUDDENLY, IT'S A GOOD THING THESE EXAMS HAVE THE GFORM AUTOMATICALLY SAVED 😭 SOMETIMES IN CLASS, SOME PROFES ARE STILL ANGRY WHEN TAENA LEAVES."
4567,"IT'S STRESSFUL BECAUSE WE STILL HAVE ONLINE CLASSES, SOMETIMES WHEN THE EXAM SUDDENLY RESTARTS THOSE EXAMS THERE'S A GOOD THING THE GFORM SAVES AUTOMATICALLY 😭 SOMETIMES IN CLASS, SOME PROFES ARE STILL ANGRY WHEN THEY LEAVE TAENA"
4568,"tomorrow's class, how are you going to study? can the exam mamser be online?"
4569,"it's a different kind of fatigue when f2f is complete but at least there is a feeling of accomplishment unlike online

2G2BT MASTERMIND
#2Good2BeTrueEp102"
4570,"how long does it take to finish class when it's an online class,,, I'm still sleepy 🙃"
4571,"I don't seem to have the energy to go to class even online, it really hurts &lt;/3"
4572,"I'm just thinking that there's class tomorrow, I'm tired. It's only going to be done online 😀😭 I'm tired too"
4573,"@Beetzin I can help you manage your online classes at affordable prices, DM me if you need any help"
4574,"""IF YOU CAN LOVE SOMEONE YOU JUST MET THROUGH ONLINE AND NEVER MEET, YOU ARE A DIFFERENT CLASS."""
4575,when the class is online sir there is a break of 20 mins but when it is f2f it will be 3 hours straight hahahahaha
4576,"@antonlean_ The bulk revenue of ecommerce platforms is also not direct online sales. I know they are commission based depending on the type of product &amp; if sold thru vendor or at the ""mall"". They have different business models. The boycotts have only a marginal effect."
4577,My problem is that he is at school from 5PM-8PM and we will attend his class even online because the net is not stable when he is traveling.
4578,Bwishit! There's only one class that hasn't been made online yet 🙄
4579,No she's not forcing me but I'm being pressured by her saying that I should work first while there's no class and I'm going to work because I'm only online....I wanted to focus on study....well if we move house for 12k per month we won't pay for rent anymore
4580,"@xavierverse Hello brother, I really need this because my eyes hurt when I spend too much time on the laptop whenever there is an online class or I have school work to do. Our class is from 7am-7pm, and sometimes I finish school works at 12am. Thank you! I hope to be chosen again https://t.co/F8bJ4APeOa"
4581,"It's a good thing that this subject is online, if it's ftf I'm already asleep in class"
4582,"but hopefully when f2f reduces the activities and requirements ah... maybe online class levels will still be available. my commute, from pasig to up, is 2 hours, so you will wake up 2 hours before that to prepare. so if your class is at 12 then, it's only 8 AM that you should act."
4583,"@xavierverse Hello brother, I really need this because my eyes hurt when I spend too much time on the laptop whenever there is an online class or I have school work to do. Our class is from 7am-7pm, and sometimes I finish school works at 12am. Thank you! I hope to be chosen again https://t.co/k1SnI3l5LB"
4584,"The price of setting it up like this is terrible, I go in at 6am because there is a 7am class, I go home at 3pm then I can go home at 4pm, then there is another class from 5-8pm online, but I don't want to hshfkjdjajsjs"
4585,"Finally, after manifesting several times, I can use #xaviproofs huhu. I was in class now then suddenly I was given a blessing, thank you so much brother @xavierverse, this helped me a lot especially since we are still an online class, more blessings to come!♡ https://t.co/tdSUFAklcC"
4586,"@jiims @notjiims I hope it will be chosen for burial and loading as well. Because we are blended and there is a class where the online class and the f2f class are consecutive, so it is necessary to immediately travel to the school to take an online class. I can't because it's after the online class, so babyahe. thank you sister ayu"
4587,"again, i really take offense to the remark that cum laude is online. maybe in your class? The girl is like that, but it's not me."
4588,"I took an online class at the same time as I went to work, class at cr malala HAHHHAHAHA"
4589,when did you just complain about bk8 online class tas f2f exams??? konfyushone
4590,Our class is only online with this org chem oy because we have zero grades in quizzes and f2f yet HAHAHAHAH just laugh at how stupid we are
4591,His eyes are on you because the class is online 🙂
4592,":Why is x when solving equations usually placed on the left?

:because the x's left...

Yes, what do I say in class just to lighten the mood because I'm already frustrated🥺🥺🥺 the effect of online classes is just 🤯🤯🤯🤯"
4593,I have not yet inquired about the online class hmf
4594,"UPDATE: After my talk with the admin, it became clear that the UPLB class will not be made full-blown f2f. Looking to see if it can be done next sem with sections that are under enhanced model 3 and sections that are fully online only."
4595,"When the face to face classes are cancelled, the online class must also be cancelled. Because the storm doesn't disappear when classes are online. Brain flz"
4596,Online Class ft. Sleep with a little class
4597,My class is at 12:30pm so I need 2 gadgets for online class and order form let's go 🥹🔥
4598,I want to go to Med School. I'm tired of going to class. This deputy online class did not bother me.
4599,take an online class next to f2f song fhosahfiahfsai
4600,is there something like that? the class is online but the quiz and exams are f2f?? Hahahaha
4601,"ALL levels, Public and Private Schools have suspended classes:

Masantol, Pampanga – (in person and online classes)
Candaba, Pampanga
San Ildefonso, Bulacan
Hagonoy, Bulacan (in person and online classes)
Patnanungan, Quezon
Cabanatuan

Public School
Calumpit, Bulacan https://t.co/QxmwcR6chP"
4602,"We didn't go to the class, sir, we watched and tried out the basketball whole section, but then he just went online because we had many reasons hahaha, we went to the class but didn't listen, the attention was on the player"
4603,"It's really up to you UP, you don't want #LigtasNaBalikEskwela so there are many online classes. Which means there are many in the province then you don't even want to suspend classes for the victims. You will insist on the ""case to case"" basis."
4604,4 days in week 8! Good thing my class is online on Monday 🥳 https://t.co/FoGf3tn74R
4605,"we will not watch online selling while in class, IS IT OKAY?"
4606,I have that tdc class.. but it's only online🤭 I'm not sure how to do tcw😍👍
4607,then is the class still online?? likeee didn't you think that there is no power and then the signal is weak
4608,"I don't know if it's f2f or online classes now, the profs are in trouble"
4609,"*online classes*
mam: maybe they are already at the café, carla.
me who didn't have coffee (and still in class even though it's soup): https://t.co/zecAbhg6FF"
4610,"bye, this is a different kind of flex session, we are in step 1 onsite, they are in step 6 online"
4611,I'M JEALOUS THERE IS A PEP RALLY AT SCHOOL NOW I CAN'T ENTER BECAUSE I'M BATCH 1 SO I'M ONLINE SUPPOSEDLY BUT THERE'S NO CLASS BECAUSE THERE'S AN EVENT
4612,"Wtf madaaaaam!!!! Online fucking class, I'm still traveling and you're here. Congratulations, you are my class"
4613,"Even though I'm sleeping at this hour, the class is already online hahayysss"
4614,class at 7 tas online c at 8. just crazy??
4615,Ftf I was supposed to take a class oi atay maning online
4616,classes will resume Tom said since there is no damage on campus hahaha eh almost all classes are online?? toinks siempre that's my school ☠️
4617,"Now I have to do more than what I feel, that's why you're waiting for nothing. Then I chat because the message was delivered, then after a while because I'm not online anymore, when I chat again, the message is not delivered. Work hard, hey. From the hard work of the class, it's going to be difficult."
4618,"I've been ftf for the whole week, I have online classes and I have school commitments that I need to go to 😩"
4619,"Typhoon Karding was a super typhoon and many people were devastated, then you will resume the classes because you are okay?? Because the campus is okay?? Have you forgotten that you have students whose classes are fully online??"
4620,"By virtue of DepEd Order No. 37 series of 2022, all online and in-person classes at all levels will be immediately suspended when PAGASA issues any tropical cyclone wind signal (TCWS), an orange or red rain warning, or a flood warning."
4621,"as if recovering from the damage it caused is as easy as the storm leaving.

no damage on campus? guess what, majority of the classes are still online🤩👍"
4622,"Sir, it's early in school and the class is still online. Anyway, get well soon Sir. We are not prepared for oral revalidation."
4623,"When class is suspended, it must also be an online class. what's that, suspend f2f and then take an online class. Did the storm stop when the class was online?"
4624,"wow, classes are suspended but here we have an online class HAHAHA"
4625,"Lordt, it's too late to go back to where you only have one class, instead of online instead 🥲"
4626,GAGO I HAVE PLA CLASS ONLINE💀💀
4627,"It looks ugly, I'm awake, suspended class, but there's still online"
4628,"ah when the class is suspended, there are no online classes? I've been waiting ahhqhqhhq for a while"
4629,"New rules on suspending classes are now effective. According to DEPED #37, F2F, online classes and work in schools with tropical cyclone wind signal 1-5 are automatically suspended, with red &amp; orange rainfall warning and flood warning from PAGASA is up. https://t.co/iwt23Otxql"
4630,"To ensure everyone's safety, Mayor Jeannie Sandoval announced that classes will be suspended tomorrow, September 26, 2022 at all levels in public and private schools (face to face and online classes) in the city due to typhoon #KardingPH. https://t.co/9o3mnqayGv"
4631,"before if the f2f was canceled, there would be no class but now you can have an online class"
4632,"In order to keep education moving, whenever there is a suspension of class due to bad weather, the class should be done online."
4633,"these are the types of people who tend to make clout in online activism. yes, I really judge you because of your dn"
4634,good thing there are no classes even online
4635,"class is canceled in all levels ❌
class is canceled in all levels but make the class an online class ✅"
4636,"Classes are suspended in 𝗟𝗔𝗛𝗔𝗧 𝗚 𝗔𝗡𝗧𝗔𝗦, even online, in all schools, private and public in Bataan Province tomorrow, September 26th.
#1 young
  #WeatherPatrol https://t.co/HQCTYhwh2F"
4637,"Classes in areas with storm warning signals automatically suspended - DepEd
 https://t.co/ZfJbHX4HXM"
4638,"There is no class tomorrow, what if there are only online exams?😩"
4639,Signal no. 4? It's online! The class continues 🙃🙃🙃
4640,"plss I hope the classes won't be suspended, we have an exam, what's online, our exam is online again, I don't want to go online😭"
4641,I also want a suspended class even though we are online only
4642,"[CLASS SUSPENSION]

Based on DepEd Order No. 37 S. 2022 following PAGASA's declaration of Tropical Cyclone Wind Signal No. 3 in Metro Manila, classes whether online or face-to-face at all levels are SUSPENDED tomorrow, September 26, 2022.

Let's be careful, QCitizens. https://t.co/re3OfVi8Mc"
4643,"NEWS UPDATE: Manila Mayor Honey Lacuna declared that all classes at all levels, public and private, face to face and online will be suspended in the city of Manila on Monday, Sept. 26, due to typhoon #KardingPH.

1/2 https://t.co/FDtPtTGz9j"
4644,"Will we have a class online tomorrow?😆

I know the policy in gh last year, as long as signal number 2 matic is suspended even online

How is it now that the signal is 3 in metro manila🤔"
4645,"MATH ABA DOESN'T MISS ME. WHEN I DREAMED I WAS IN MATH CLASS, HE WAS ONLINE SITE AND THEN TEACHING ME ABOUT PARABOLA😭"
4646,"Get along ntc!! My class is online only, you can work 🥺🥰"
4647,"PUP move the glass, even if it's an online class, maybe tomorrow's class can be suspended? haha"
4648,"cons: I have class at 10 am 😵

but it's online 🤩 so it can still be done HAHAAAHAHAHAHA 🥹🥹🥹"
4649,"this time last year busy na prep for the ELC1,2,3,4 ~online internship. and now MEDJO busy na sa review and also sa klase nga hapit na finals nga i have no one to rely on this time 🥲"
4650,I really hope our class is online on the day of the con
4651,"The ticket selling is over and then I have a class from 8am to 6pm, I'll get to experience taking an online class at SM 😭"
4652,@teylatte @KinitJools the class is online hmm 🤔
4653,Did I mention that one class will be moved on the day we are supposed to rest? Like it's our fault that the original sched of the online class is right after our f2f subject. Instead of playing PS5 I get to deal with this bullshit. The subject is not good yet
4654,"I don't get why children still have to take exams through online even though their class is f2f. It doesn't matter if the site is okay, it's always down"
4655,@be0mybear I'm not going to camp and I'm not online hahahahaha I have class until 8 PM tonight 🥹🥹🥹🥹🥹 more or less 3AM I'm going to SM near me 🥹🥹🥹
4656,"I don't want to f2f, sir, because the song is fine, the class is online, sir, take care of yourself if I have a fever again, whaha"
4657,"Does BU have a function like that, if it's online😃 I'M JUST JEALOUS😭 I'm really tired of having a crash party when there's no class"
4658,I just realized that attendance is required even though most of the classes are still online 🥴
4659,It's very sad to be told that there is no class because your UM graduation class is an online class haha
4660,"f2f class but also online :')

@0815archive who are you chatting with 🥰 https://t.co/aSxqdKTey5"
4661,f2f would have been fun if our class schedule was fine. I will have a half online class and f2f for one week. the sudden one too
4662,"@Clieant there are a lot of people, that's why it's all kind of wet because it's back online for one week HAHAHAHA"
4663,HAHAHAHA OUR ROTC CLASS IS ONLINE THIS SAT
4664,"I'm really crying so we should really f2f, people here don't understand that don't disturb me when there's an online class"
4665,the class is online but the exam f2f???? it's more important for you to see that you don't cheat than to actually learn something. BULLSHIT.
4666,"I do a lot of homework in class, I think I will take quizzes in all subjects online. Not at all😭"
4667,"It's always the same, we're still students, sorry, it took a long time for you to start class and the teachers invited you to google classroom, look at his activities, mix things up, online and then ftf and the signal is still really slow.."
4668,"Hey, okay, it's like there is no way to take an online class, but this f2f is where the class is, it's a long way to walk, HAHAHAHAHA"
4669,"@_clawisss When you're online, let's vc so that I'm next to you. It doesn't matter if you go to the meeting, or the whole class HAHAHAHAHAHAHAHA😭😭😭😭😭"
4670,I guess I'm too attached to online classes. I cried after just one class 😭
4671,Humag class f2f drtso sm because it will be an online class
4672,"the difficulty of blended learning is that the synchronous classes are one after the other, and the classes at VTH will be missed
 online to travel, I'm already late for lectures and then catch up T-T"
4673,WTF I just realized now that we are a joint class online so the class is 7am I thought it was 10am 🥲 when it was time oh.
4674,"Blended learning is also very different. Early in the morning you will travel to CSU, because there is an f2f class, while you are in an online class in the jeep, if you don't have earphones because they are broken, you are not allowed to be absent because of 3 constitutive absences, you are subject to drop out. When you arrive csu wakay+"
4675,The online class is not available at 7am so the pastilan class will start 🤦
4676,"Class is over, it's game time again bosses! Pm Eula Ros Pestano or Buboy's Online Disposable Vape Shop! You can still chase at night🙌"
4677,online report at 7:30 AM then onsite class at 9:00 AM :'&lt; The teacher doesn't even consider if we are having a hard time here and adjust your schedule
4678,"Did you take an online class during that time, your nose and face just itched 🤦😂 the whole 2hrs class was off cam"
4679,"Hey, you're really great!!! I have a lot of things pending on netflix. although we have reports, essays, interviews &amp; work training. ++ f2f classes and my classes online. THAT'S THE DEVIL!"
4680,"Of course, there is no online class of yours"
4681,"There is only an online class, you are sleepy"
4682,The only good thing about the online class is that you can still listen to the class while pooping😍
4683,I will be wandering this week while my class is online Haha
4684,hello good morning studytwt! we don't have class yet but I've been busy requesting files for dost + selling my arki mats! good luck to those who have online or f2f classes today 🖤🖤🖤
4685,"I woke up at 3:00 and left at 4:00 to find out that the class was online, wow what am I going to do at school today HAHAHAHA"
4686,"If you have a cough and a cold, you won't be able to come to class because I won't be online"
4687,Feeler raj is so bad that we wake up in the morning and then there is no online class where we can wake up 10 minutes before class.
4688,"ACEs, this kind of promotion only comes once. I hope all ACEs and non-ACEs who registered show up.
This is a perfect opportunity to show our strength as a fandom.

FREE ONLINE CONCERT
#Roadto10k

#HMBGYOCelestialSpaces
#BGYO @bgyo_ph"
4689,"I don't have class tomorrow, I'll try to make chibi art to hmm

FREE ONLINE CONCERT
#LetsMakeMusicHistory
#RoadTo10K
#BGYO
@bgyo_ph"
4690,suspension of the f2f class but not the online ones 🤨 so only the roads are flooded not the houses??? The flood waters are looking for a place https://t.co/nlMX9JIYAG
4691,Someone even went online and I forgot that I even had a class HAHAHA
4692,"I'm being sent back to let's cha, I wish I had class. I don't want an online class hahaha"
4693,"sir, maybe the class will be online later 🧎‍♀️"
4694,suspend online class raynow maybe batelec will suspend my class T_T
4695,"So all our classes are suspended because I'm an online class 🙂 I don't know what will happen to us 🥲 I even beat my younger brothers, they're already f2f 😂"
4696,"F2f is the opening salvo, our class is online class ghpon okay"
4697,Class 1 is now online
4698,"When he consulted, he didn't get an answer, so when the class is close, the class will be announced online for you"
4699,"It's hard to stay up late, we have class at 8am but the good thing is that it's only online and there's no need to go to school, we have a quiz"
4700,"""My mic is broken, Sir"" ""My laptop is falling, Miss""

Are you one of those students who often make excuses while in online class? Let's change, brother! Learn the Prohibited Tricks in F2F Classes in Mikaella Severa's box. https://t.co/o3TnwatJkF"
4701,"It's not okay to cough in class, mask online class! Charot"
4702,"I bet more online than f2f, I can't lie down without class."
4703,omg for the online class our class is starting tom hehe
4704,Fck the class is online but the exam is f2f HAHAHAHAHAH
4705,"Okay, so I sampled something in class earlier. It's my first time to reprimand during online classes. Haha. Until now my blood is boiling."
4706,There are those who can't go to work and online classes you won't pay the lost wages! you will not teach the class that cannot be attended!!
4707,why is it because the class is still online I don't know where I can listen to my prof or the sermon hahahahahahaha
4708,I will have to wait for two hours for my brother to come home. I already have a class online
4709,suspend the class even in online fls
4710,online shopping while in class
4711,He hurriedly said that our class is only online
4712,It's hard to be a parent and I don't know how to understand that there are days when my class is online.
4713,f2f orientation then there is an index card even though the class is online
4714,"@dozZ3h_Vbril That happened in my grandson's class. Online class Tchr DMed you a video of a child reading from their module. What the mother did was a post on GC that she was proud of her son reading slowly. To my annoyance, I also posted a video of my grandson in GC reading Tagalog and Eng quickly"
4715,"because of me, I thought that I would just watch a movie on my laptop, it's totally online, but our class is tomorrow hehe"
4716,"Since the class is still fully online, no one has re-enrolled."
4717,"mom said I should wash my clothes

how can I wash it, there is no announcement yet if it is full-fledged f2f, our class is purely online 🥹"
4718,"@hobipatotie Please, I hope it's monday or tuesday! because we're online, if it's Wednesday to Friday, I hope to live in the evening because my class is still in the morning 😭"
4719,Online class in Manila when we happen to have a major class on Friday HAHAHAHA
4720,"It hasn't really sunk into my mind that it's true that the class is now face to face. I feel like I'm still online hahahah why is that, is it true?"
4721,"I only had powerpoint classes, I wish I had gone online HAHAHAHAH what a waste of gas 😭🤣"
4722,Our class is online
4723,Sorry if I can go to Boracay and take a vacation while in online class. I did not violate any rules. I attended all my classes in other places - did the quality of my perf change? no! I'm just wearing a bikini! (offcam)
4724,"My online friend is in dubai. They were behind for 4 hours, their courage was bursting. I have a class tomorrow potacca"
4725,@Rokkirodopurin keep trying. I'm having classes on saturdays but I'm online next week
4726,It's hard to know if the class is face to face or online
4727,"it's still an online class, our class will start on Oct 11"
4728,but our mmec has lectures in real classes online every day
4729,"We should have f2f oyyy we're the only ones, this guy has money, his class is online, f2f, the exam looks like he's digging his own grave, oy pste"
4730,went home to take online classes and left again
4731,why when I have class then you are online Jay B 😭
4732,"HAHHAGAAA our village class has been suspended, Ma'am has also suspended the online quiz name. That said, they know my priority now. Excited for Born Pink"
4733,This online class is really good
4734,"and of course the worst part is that if it's an online class week, YOU WILL NOT BE GIVEN AN ALLOWANCE because the class is only online. no motha and fatha, i am broke now 😭😭😭"
4735,"If your class is at 7 am, do you announce it the day before if it's a F2F or Online class, not at 7:30 on the day?"
4736,I'm still very happy and the class is about to start and then it's an online class
4737,"if you see me online tomorrow during class, just mind your own business."
4738,"Is it the green school, why don't you take 2 days to f2f all subjects, the remaining 3 days are online, same as other schools. You don't have a deep plate from the day just for 1 to 2 subjects class per day🙄"
4739,"this set-up is time, physically, mentally and financially consuming. blended learning is shit. meron kang klase na ftf that day tapos 1 hour lang and then the rest (subjects that day) are online. teh di ko keri, double ride pa. init alikabok. 

..."
4740,"Thank you very much to God and we are only an online class, but I will die if f2f is like that in our class 🥹"
4741,KAPOYAAA AGAIN OR EVEN AGAIN FROM F2F THERE ARE STILL ONLINE CLASSES DJDBDKSBSKSHKX :')
4742,"I'M TIRED, I'M TIRED AND WE STILL HAVE ONLINE CLASSES WHEN 3 WE WENT THROUGH LA SALLE TAENAAAA

twas fun tho actually"
4743,I don't understand that it is part of the students' fault that they will be ordered during online classes. They say we should focus on class.
4744,F2f but the class is online...
4745,"Can we just f2f this class because it's too bad, it should be very interesting but it's really boring because it's an online class, it's better to watch the teacher who is in front talking"
4746,"I ALMOST WAS ABSENT FROM OUR CLASS SO MUCH. I WAS OFFLINE WHEN I SENT THE LINK, WE ALL THOUGHT WE DID NOT HAVE A CLASS BECAUSE THERE WAS NO PROF IN THAT SUB YET. WHEN I WAS ONLINE THEY HAD A CLASS 😭 WHEN I ENTERED, MY LAST NAME WAS IMMEDIATELY MENTIONED, MY SPIRIT WAKE UP WITH TROUBLE 😭😭"
4747,"For me I think having f2f classes during COVID is really dangerous especially while there are still active cases. I know students struggle with online and modular but it's better learning for humanity
￼"
4748,passed through Imagine having to do the modular and Online classes for about 2 years. The student's knowledge
4749,"During the pandemic the education of the students is really low, because the classes are only online and modular, because of this the students have a habit of cheating, they create stress and the way they always procrastinate shows their"
4750,Online class is boring.
4751,I am indebted to f2f - online - f2f setup of my classes AAAAAAAAAAAAAAAAAAAAA
4752,I hope the class will be online so that the flight is not tiring
4753,There is even an online class wahahahaha
4754,Can f2f it class but it exams and quizzes online?
4755,The class is online but the exam is f2f 🥴
4756,"since we're in ftf classes, it's superrrrr tiring that everyday and anytime my line is ""I want to go home"". But I also don't like online classes anymore, I feel like I need a break w school when I'm at home but there's still class 😩"
4757,I didn't even grow in this online class
4758,"@ruminarist 3 days of class a week, but only 4 hours 45 per class, what can I learn if my class is online all week."
4759,6am to 5pm in school class then now online 6pm to 8pm you can do it vince you can get through that too😊
4760,I want to buy a ticket for the online concert because I have class right now😭😭
4761,"Yoko with this setup putcha, I'm more anxious waiting for the class online, can you just ionsite our entire block, after all, we're scheduled for night shift for the 4th year. feeling ugly pota"
4762,can the class be online only?😭
4763,Are you still online? The class is early in the morning.
4764,"I wish we could be online, sir, but now I should be ready to go to his class next week, otherwise I might just stand the whole session hahahaha"
4765,what I learned in the online class is to sleep in class
4766,It's difficult because my class in the morning is f2f then the next subject is an online class until I have to substitute so I can attend the class
4767,"I really hope that when we have an online class tomorrow, I won't be able to sleep during FINAC 😭 when I suddenly become a quiz immediately 😂"
4768,"You really suck, Timbs, now you are going to announce an online consultation tomorrow but you only have students in class because you don't really have a schedule 🥴"
4769,"the problem with the book. I hope that before opening the class, it has been ensured that everyone will be given a book. Or at least only modules like when it was online so that the children's learning is fair. It's a waste of printers given to schools if they are not used for that."
4770,"@chxxnds I'm taking classes now online but not on twitter HHAHHAA

2G2BT GOODBYE KISS
#2Good2BeContinued"
4771,"@_MaeeTin I don't enjoy online anymore sister ahahaha others travel even if there is an exam like that ahahaha. I fell asleep in that class ahahahaa
#GrandfatherVsVictor
GRANDFATHER YOU GET REVENGE"
4772,"@Piotr63647630 @Firarafaa @TomaszGryguc This is against the education law. The headmaster can gather all Ukrainians into one class and create a preparatory department. If you don't like it, it's Ukrainian online."
4773,"This is difficult when there is no teacher in ftf, they can take classes online HAHAHAHAAHAHA"
4774,potek HAHAUSHZHSI online sign biskan there is a class 😭
4775,"It's a different class today, I was crying while taking an online class!!"
4776,My classmates are not online. Have you been to class? It's only 10am I know Hahahaha
4777,"THIS MORNING I WAKE UP FOR MY ONLINE CLASS, THEN THERE WAS NO CLASS!

CONTRIBUTE FIRST!

I am voting for @SB19Official #SB19 and #ATIN for #BreakTudoAwards Grupo Internacional and Internacional Fandom."
4778,"@_iluvyjw_ I still have class in the afternoon but I'm already awake

that's okay because we're online now ☠️"
4779,"That's why you wandered but there are classes, meetings, coaching and online orders in th 😵‍💫"
4780,"I thought at first that it would be better to attack the subjects in f2f, but it is better if the class is online"
4781,"I want to cry! 😭

I want to go to MIBF because of this case I have classes from Monday to Friday and then MA on Saturday 😭😭😭

I guess I just have to wait for it to be available online ☹️☹️☹️"
4782,After I got home from the 6 hrs class f2f I still need to take a class online for business law 2 hrs full time😥
4783,Endless online hayss classes
4784,The class is now online so I can attend hahaha.
4785,"Become a software tester!

➡️ The training lasts 6 weeks
➡️ Held twice a week for 2 hours
➡️ Held online and in the classroom
➡️ Lecturer - Njomza Ibrahimi

Register via:
 ☎️ 049 785 190
 📩 info@bit-academy.com
 💬 social networks

#bitacademy #qualityassurance https://t.co/0pn4Utrpse"
4786,"I order the book I can't find at booksale online, and I'm so thankful that we have a class so I can receive it."
4787,Our duty is 2:40pm-5:10 with grade 8 students then we have an online class from 4pm-6pm if you want we will go to school at 7am
4788,"University professors are now ALLOWED to make it a requirement for their students to open videos during online classes according to the announcement by the Office of the Provost.

| from Help Desk Announcement 09122022 https://t.co/7Bg3qkSNcN"
4789,"All face-to-face classes will be MOVED online on November 6, 7, 12, 15, 16, and 19 for the 2022 Bar Examinations to be conducted on campus in accordance with the announcement of the Office of the Provost.

| from Help Desk Announcement 09122022 https://t.co/DCfSrSxxWk"
4790,Gago wait I'm in class online with jungwon on weverse😭
4791,super boring during our class I fell asleep and I dreamed I lost my hand while in the online class so I screamed 😭😭 good thing the mic was off
4792,Why are people from Pnchs who have classes gale online in the board app?
4793,online shopping because I'm stressed thinking that class is from Tuesday to Friday 😭
4794,I have a class from 5:30-7:00 shet it's oh goodbye online class
4795,"that's why I don't want to speak in the online class, potek next subject, the physical people who entered the class are talking about me, I won't know if the other one accidentally turns on the mic.🙃"
4796,"slow internet + noisy surroundings

""You can do it easily with your online class"""
4797,"It's fine if our class is online, hey, it's always been like this before, there's no way back, we don't have covid yet, I'm doing it, they're doing it, it's so good, I don't want to give it up myself."
4798,"I only attended one class and I'm going home right away 🥲 HSHSHSHSJSJ haaay if it was online, my life would be easier :'&gt;"
4799,You don't know about the advantage that your class is only online Kai Dina required to take a bath hahahahaha oh can't you save a lot of water 🤣😂
4800,I'm overthinking 😭 because we should f2f this week. but why did we schedule our online class research? the trouble is that later I went home and suddenly there was a class at uni 🥹
4801,"I still haven't figured out how to shift from f2f to online class in my two classes in a row,,,,gudlak 2 me, i guess??"
4802,"I'm excited tomorrow is our online class? It's like I'm going to school, I have an online class at 7:30 😭"
4803,"@pangarapkart HWKWMWHSJANAH I'm shaking veryyy tempting because there are classes even online but 🥺 will try, love u"
4804,"I'm really nervous about my schedule, 3-5 classes are f2f then 5-6 I have an online class with a quiz"
4805,"Kafunny, everyone is ready at 8-9pm, tomorrow's class will be online hehe hahahahaha"
4806,"(I don't know the context of the tweet) but for me, it just seems like an expensive version of the online class of this limited face-to-face. 🥺 You go to school and then the instructor doesn't teach, it's synchronous online. Wtf? Student friendly where? The tile is expensive"
4807,"@Reinisceplis @ivarssvilans @normundsbergs 1) the national teacher prepares the digital content that teaches the topic. It is available for school, parents, mentors
2) class on the spot, the regional teacher explains and the mentor so that the students understand.

A teacher speaking online to 30 students is not digital content"
4808,Youth and students from different universities and schools in Baguio attended to collectively discuss the issue of a safe transition from the online mode of learning to the restoration of physical classes within the university.
4809,i need to walk and talk and walk and talk all day but since online when i wake up i'm in front of my class so no action or anything no speaking because i can't focus in class because i feel like a robot when i'm online and my eyesight is getting worse each day
4810,"It's still okay despite most of our profs preferred online then there's the dorm. I think my property is useless. At least, I can concentrate in class."
4811,"You just took a bath there because you have class 9 to 12 online, but I have class ftf 1 to 4."
4812,"It's a bitch's life, you go to school early and then you're a bitch online"
